Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
38211,67953-77-9,"Methanol, 1-(dibutylamino)-",FALSE, ,0, 
38212,67953-78-0,"Formaldehyde, polymer with 4-dodecylphenol and 1,2-ethanediamine",FALSE, ,0, 
38214,67953-80-4,"2-Propenamide, polymer with formaldehyde and N-methylmethanamine",FALSE, ,0, 
38216,67953-82-6,"Phenol, 4-dodecyl-, polymer with 1,2-ethanediamine and formaldehyde, compd. with (dibutylamino)methanol",FALSE, ,0, 
38223,67967-76-4,"Poly(oxy-1,2-ethanediyl), .alpha.-(2-chlorophenyl)-.omega.-hydroxy-",FALSE, ,0, 
38225,67968-24-5,"Benzenesulfonic acid, dodecyl(sulfophenoxy)-, ammonium salt (1:2)",FALSE, ,0, 
38226,67968-25-6,"Cuprate(2-), [C,C-bis(aminosulfonyl)-29H,31H-phthalocyanine-C,C-disulfonato(4-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, sodium (1:2)",FALSE, ,0, 
38227,67968-63-2,"Octadecanoic acid, 9(or 10)-sulfo-, potassium salt (1:?)",TRUE, CAS,1, Scout
38237,67969-69-1,"1-Octanesulfonamide, N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-[2-(phosphonooxy)ethyl]-, ammonium salt (1:2)",FALSE, ,0, 
38246,67969-80-6,"Thiodicarbonic acid ((HO)C(O)SC(S)(OH)), OC-ethyl oC'-(1-methylethyl) ester",FALSE, ,0, 
38248,67969-82-8,"Borate(1-), tetrafluoro-, hydrogen, compd. with 1,1'-oxybis[ethane] (1:1:1)",TRUE, CAS,3, Scout
38251,67969-85-1,"9-Octadecen-1-ol, 1-(dihydrogen phosphate), (9Z)-, compd. with 2-(dibutylamino)ethanol (1:?)",FALSE, ,0, 
38253,67969-87-3,"1,3-Naphthalenedisulfonic acid, 7-[2-[4-[[[[2-methoxy-4-[2-(3-sulfophenyl)diazenyl]phenyl]amino]carbonyl]amino]-2-methylphenyl]diazenyl]-, sodium salt (1:3)",FALSE, ,0, 
38254,67969-88-4,"2-Anthracenesulfonic acid, 1-amino-9,10-dihydro-4-[[4-[[(4-methylphenyl)sulfonyl]oxy]phenyl]amino]-9,10-dioxo-, sodium salt (1:1)",FALSE, ,0, 
38264,67969-98-6,"Methanesulfonic acid, 1-hydroxy-, sodium salt (1:1), polymer with formaldehyde and 4,4'-(1-methylethylidene)bis[phenol]",FALSE, ,0, 
38283,67970-17-6,"2-Propenoic acid, 2-methyl-, 2-aminoethyl ester, hydrochloride (1:1), polymer with butyl 2-propenoate, ethenylbenzene and methyl 2-methyl-2-propenoate",FALSE, ,0, 
38295,67970-32-5,"Formaldehyde, polymer with 4-(1,1-dimethylethyl)phenol and methylphenol",FALSE, ,0, 
38296,67970-33-6,"Formaldehyde, polymer with methylphenol, 2-methylphenol and phenol",FALSE, ,0, 
