Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
93704-25-7,"16,16,17,17,18,18,19,19,20,20,21,21,22,22,22-Pentadecafluoro-3,6,9,12,15-pentaoxadocosan-1-
ol",FALSE, ,0, 
93706-76-4,"4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoro-2-hydroxyundecyl 2-methylprop-2-
enoate",FALSE, ,0, 
937602-77-2,"1-(2,2,3,3-Tetrafluoropropyl)piperidine-4-carboxylic acid",FALSE, ,0, 
937602-82-9,"1-(2,2,3,3-Tetrafluoropropyl)-1H-1,2,4-triazol-3-amine",FALSE, ,0, 
93762-09-5,Perfluoro-2-(trifluoromethyl)propanesulfonic acid,FALSE, ,0, 
93762-10-8,"Potassium 1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propanesulfonate",FALSE, ,0, 
93762-11-9,N-(2-hydroxyethyl)-N-methylperfluoro-2-methylpropanesulfonamide,FALSE, ,0, 
93762-12-0,"1,1,2,3,3,3-Hexafluoro-N,N-bis(2-hydroxyethyl)-2-(trifluoromethyl)propane-1-sulphonamide",FALSE, ,0, 
937676-00-1,4-Chloro-2-(heptafluoropropyl)pyrimidine,FALSE, ,0, 
93776-03-5,"1,1'-(Oxybis((1-methylethylene)oxy))bis(3-(perfluoro-11-methyldodecyl)propan-2-ol)",FALSE, ,0, 
93776-04-6,"1,1'-(Oxybis((2-methylethylene)oxy))bis(3-(perfluoro-9-methyldecyl)propan-2-ol)",FALSE, ,0, 
93776-05-7,"1,1'-(Oxybis(propyleneoxy))bis(3-(perfluoro-7-methyloctyl)propan-2-ol)",FALSE, ,0, 
93776-06-8,"33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,44-Pentacosafluoro-
2,5,8,11,14,17,20,23,26,29-decaoxatetratetracontan-31-ol",FALSE, ,0, 
93776-09-1,"32-(Perfluoro-11-methyldodecyl)-2,5,8,11,14,17,20,23,26,29-decaoxadotriacontan-31-ol",FALSE, ,0, 
93776-10-4,"32-(Perfluoro-9-methyldecyl)-2,5,8,11,14,17,20,23,26,29-decaoxodotriacontan-31-ol",FALSE, ,0, 
